Date,Open,High,Low,Close,Volume,ID,hurst_100,hurst_150,hurst_200,hurst_250,hurst_300,hurst_400,Adj Close MA20,Adj Close MA20 1diff,Indicator Increasing,Indicator Decreasing,Indicator Trend Pos to Neg,Indicator Trend Neg to Pos,Increasing days,Decreasing days,Zero Cross Neg,Zero Cross Pos,Zero Cross Total,Ratio Trend,Ratio Zero,Segment,DVT STD,Target
2011-01-03,1257.62,1276.17,1257.62,1271.87,863682981.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-04,1272.95,1274.12,1262.66,1270.2,836118710.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-05,1268.78,1277.63,1265.36,1276.56,817191144.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-06,1276.29,1278.17,1270.43,1273.85,888495213.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-07,1274.41,1276.83,1261.7,1271.5,864511615.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-10,1270.84,1271.52,1262.18,1269.75,747989101.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-11,1272.58,1277.25,1269.62,1274.48,723910467.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-12,1275.65,1286.87,1275.65,1285.96,747124581.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-13,1285.78,1286.7,1280.47,1283.76,753214559.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-14,1282.9,1293.24,1281.24,1293.24,863770439.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-18,1293.22,1296.06,1290.16,1295.02,1003499293.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-19,1294.52,1294.6,1278.92,1281.92,843161698.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-20,1280.85,1283.35,1271.26,1280.26,967817036.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-21,1283.63,1291.21,1282.07,1283.35,1068224869.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-24,1283.29,1291.93,1282.47,1290.84,762198009.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-25,1288.17,1291.26,1281.07,1291.18,848270706.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-26,1291.97,1299.74,1291.97,1296.63,872436425.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-27,1297.51,1301.29,1294.41,1299.54,810690476.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-28,1299.63,1302.67,1275.1,1276.34,1040999805.0,SPX Index,,,,,,,,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,,0
2011-01-31,1276.5,1287.17,1276.5,1286.12,949068599.0,SPX Index,,,,,,,1282.6185,,0,0,0,0,,,,,,0.0,0.0,Mean Reverting,9.45820516800094,1
2011-02-01,1289.14,1308.86,1289.14,1307.59,849842854.0,SPX Index,,,,,,,1284.4045,1.7860000000000582,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,10.622579959689602,1
2011-02-02,1305.91,1307.61,1302.62,1304.03,731027632.0,SPX Index,,,,,,,1286.096,1.6914999999999054,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,10.930676003556933,1
2011-02-03,1302.77,1308.6,1294.83,1307.1,794489025.0,SPX Index,,,,,,,1287.623,1.5270000000000437,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,11.638665188431984,1
2011-02-04,1307.01,1311.0,1301.67,1310.87,716126636.0,SPX Index,,,,,,,1289.474,1.8509999999998852,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,12.26015257052814,1
2011-02-07,1311.85,1322.85,1311.85,1319.05,697185949.0,SPX Index,,,,,,,1291.8515,2.3775000000000546,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,13.168024379253986,1
2011-02-08,1318.76,1324.87,1316.03,1324.57,666972849.0,SPX Index,,,,,,,1294.5925,2.740999999999985,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,14.004327855495458,0
2011-02-09,1322.48,1324.54,1314.89,1320.88,758001528.0,SPX Index,,,,,,,1296.9125,2.3199999999999363,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,14.336509842834126,1
2011-02-10,1318.13,1322.78,1311.74,1321.87,923023162.0,SPX Index,,,,,,,1298.708,1.7955000000001746,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,15.119903090750258,1
2011-02-11,1318.66,1330.79,1316.08,1329.15,781892094.0,SPX Index,,,,,,,1300.9775,2.26949999999988,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,16.130843249730113,0
2011-02-14,1328.73,1332.96,1326.9,1332.32,678461974.0,SPX Index,,,,,,,1302.9315,1.9540000000001785,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,17.456711957537024,0
2011-02-15,1330.43,1330.43,1324.61,1328.01,744584299.0,SPX Index,,,,,,,1304.581,1.6494999999997615,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,18.212085894580404,0
2011-02-16,1329.51,1337.61,1329.51,1336.32,800258770.0,SPX Index,,,,,,,1307.301,2.7200000000000277,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,18.70518726252993,2
2011-02-17,1334.37,1341.5,1331.0,1340.43,716665606.0,SPX Index,,,,,,,1310.3094999999998,3.0084999999999127,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,18.964079750662037,2
2011-02-18,1340.38,1344.07,1338.12,1343.01,1009118232.0,SPX Index,,,,,,,1313.2925,2.983000000000174,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,19.191051060050608,2
2011-02-22,1338.91,1338.91,1312.33,1315.45,1043565527.0,SPX Index,,,,,,,1314.523,1.230499999999893,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,18.45034562506096,0
2011-02-23,1315.44,1317.91,1299.55,1307.4,1053217978.0,SPX Index,,,,,,,1315.3339999999998,0.8109999999999218,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,17.711989516470894,1
2011-02-24,1307.09,1310.91,1294.26,1306.1,943677574.0,SPX Index,,,,,,,1315.8075,0.4735000000002856,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,17.30761921509522,1
2011-02-25,1307.34,1320.61,1307.34,1319.88,730543325.0,SPX Index,,,,,,,1316.8245,1.0169999999998254,1,0,0,0,,,,,,0.0,0.0,Mean Reverting,16.894078525049032,0
